,호선,역명,자치구,역번호,미세먼지,이산화탄소,포름알데히드,일산화탄소,공기질점수,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,승객수
157,6호선,상수,마포구,2624,0.7562604340567611,0.3026706231454006,0.2576687116564417,0.8333333333333331,0.6690627377424725,628792.0,524787.0,405344.0,422522.0,430216.0,459574.0,504551.0,430110.0,360550.0,443954.0,447629.0,331542.0,0.09190094302341383
158,6호선,광흥창,마포구,2625,0.5542570951585977,0.21364985163204747,0.17484662576687116,0.6666666666666665,0.45345890640214337,533621.0,447763.0,364956.0,381856.0,421883.0,447672.0,470637.0,397217.0,371091.0,421153.0,441076.0,361248.0,0.08548853175914883
159,6호선,대흥,마포구,2626,0.7512520868113521,0.34124629080118696,0.19325153374233128,0.7499999999999999,0.6235164887892738,499525.0,419653.0,341610.0,354969.0,392454.0,415799.0,444719.0,366695.0,348055.0,401361.0,417650.0,337730.0,0.07925998689477391
160,6호선,공덕,마포구,2627,1.0,0.2403560830860534,0.2638036809815951,0.41666666666666663,0.5776749474858693,1044995.0,908046.0,768893.0,797565.0,856522.0,915464.0,979438.0,802964.0,770379.0,870853.0,906579.0,742862.0,0.1887493619670454
161,6호선,효창공원앞,용산구,2628,0.8447412353923206,0.1661721068249258,0.1656441717791411,0.5833333333333333,0.5134797529617166,384485.0,331050.0,289270.0,302894.0,326750.0,342678.0,362580.0,308804.0,303366.0,336908.0,346376.0,292786.0,0.06344741810304384
162,6호선,삼각지,용산구,2629,0.7896494156928212,0.22255192878338279,0.17484662576687116,0.3333333333333333,0.4179423868530601,344982.0,285482.0,230143.0,238634.0,252687.0,270896.0,287189.0,237126.0,220263.0,269067.0,274509.0,214872.0,0.047832946133471624
163,6호선,녹사평,용산구,2630,0.5959933222036727,0.1543026706231454,0.19325153374233128,0.4999999999999999,0.38729435267278606,325275.0,287484.0,238758.0,243402.0,222227.0,232129.0,268332.0,225746.0,217547.0,265985.0,250097.0,192301.0,0.04478504664892049
164,6호선,이태원,용산구,2631,0.9398998330550917,0.26706231454005935,0.23006134969325154,0.5833333333333333,0.6173763811071505,936429.0,733484.0,570216.0,557131.0,435912.0,443094.0,529261.0,470000.0,421259.0,576668.0,523469.0,382430.0,0.11506250289572546
165,6호선,한강진,용산구,2632,0.6260434056761268,0.04154302670623145,0.22085889570552147,0.41666666666666663,0.33207414775669136,526814.0,447797.0,361515.0,377982.0,383190.0,408934.0,476055.0,389184.0,360164.0,475294.0,436625.0,319643.0,0.08360069396182354
166,6호선,버티고개,중구,2633,1.0,0.2433234421364985,0.20245398773006135,0.5833333333333333,0.6208682154971457,132759.0,113794.0,96156.0,100041.0,108481.0,116250.0,124362.0,103964.0,101749.0,117101.0,118909.0,97381.0,0.01289145828150228
167,6호선,약수,중구,2634,0.978297161936561,0.37091988130563797,0.14723926380368096,0.5833333333333333,0.6410833867474539,219522.0,189563.0,160997.0,166654.0,179575.0,186574.0,198246.0,166857.0,159298.0,180330.0,188418.0,155739.0,0.02887052885388451
168,6호선,청구,중구,2635,0.30050083472454087,0.2166172106824926,0.19938650306748468,1.0,0.4961735001382453,225794.0,200992.0,178058.0,182576.0,197097.0,202642.0,210548.0,176363.0,177498.0,195085.0,199168.0,172488.0,0.032112495478774865
169,6호선,신당,중구,2636,0.1936560934891487,0.2344213649851632,0.6840490797546012,0.7499999999999999,0.5542602933850561,501303.0,457725.0,368946.0,359915.0,394393.0,419337.0,442917.0,359502.0,362548.0,400562.0,420674.0,349274.0,0.08114587798590663
170,6호선,동묘앞,종로구,2637,0.08347245409015024,0.27002967359050445,0.2147239263803681,0.9166666666666666,0.4037864343212164,528034.0,423425.0,368309.0,398893.0,436458.0,435733.0,455112.0,370010.0,382386.0,445781.0,439196.0,378281.0,0.08551666166363175
171,6호선,창신,종로구,2638,0.6277128547579299,0.2166172106824926,0.22392638036809814,0.5833333333333333,0.47027980927980767,182143.0,156037.0,136497.0,142576.0,154448.0,169654.0,175947.0,143173.0,144236.0,161813.0,170796.0,139584.0,0.0235196370093765
172,6호선,보문,성북구,2639,0.30717863105175297,0.3620178041543027,0.25460122699386506,0.7499999999999999,0.4791382565089587,416267.0,363662.0,319674.0,330405.0,356376.0,369115.0,391809.0,325368.0,315425.0,354850.0,364930.0,310376.0,0.06909890085074955
173,6호선,안암,성북구,2640,0.1936560934891487,0.4094955489614243,0.21165644171779138,0.8333333333333331,0.4689043008832404,643217.0,508428.0,425659.0,441330.0,514009.0,562410.0,573950.0,451710.0,431313.0,514159.0,515013.0,397435.0,0.10336824945560362
174,6호선,고려대,성북구,2641,0.13021702838063434,0.1632047477744807,0.3650306748466257,0.3333333333333333,0.20709223510641914,481796.0,398706.0,322203.0,335897.0,379907.0,405660.0,422756.0,351280.0,344736.0,394164.0,395747.0,325711.0,0.07572365882650216
175,6호선,월곡,성북구,2642,0.33388981636060094,0.20474777448071216,0.2147239263803681,0.4999999999999999,0.3114315285070491,690308.0,576668.0,501666.0,517382.0,568969.0,590304.0,615044.0,504986.0,496572.0,560838.0,585185.0,491262.0,0.11739526039336703
176,6호선,상월곡,성북구,2643,0.5075125208681136,0.29673590504451036,0.4815950920245398,0.5833333333333333,0.5570725752159973,351013.0,289157.0,253874.0,265953.0,295140.0,308166.0,319477.0,265060.0,265606.0,299512.0,310540.0,263912.0,0.05487145704339714
177,6호선,돌곶이,성북구,2644,0.23038397328881463,0.26409495548961426,0.18711656441717792,0.4999999999999999,0.2828049577069998,492445.0,423202.0,399655.0,410779.0,449836.0,477141.0,494276.0,383741.0,367658.0,419567.0,435343.0,370589.0,0.08673557227905955
178,6호선,석계,노원구,2645,0.5075125208681136,0.18100890207715134,0.5552147239263803,0.41666666666666663,0.4737952186470844,761498.0,649820.0,567088.0,593003.0,648180.0,678358.0,704445.0,595839.0,570689.0,653351.0,661065.0,559650.0,0.13576831237314774
179,6호선,태릉입구,노원구,2646,0.45575959933222027,0.22255192878338279,0.17791411042944785,0.4999999999999999,0.35246274197901795,343178.0,288929.0,255796.0,265815.0,299939.0,304664.0,316585.0,265242.0,253917.0,297911.0,301980.0,244448.0,0.05391745420665688
180,6호선,화랑대,노원구,2647,0.19031719532554264,0.16913946587537093,0.2147239263803681,0.3333333333333333,0.17347724113961716,611820.0,510627.0,432267.0,455061.0,502660.0,540887.0,563833.0,461932.0,446987.0,527172.0,537092.0,433713.0,0.10425240447415378
181,6호선,봉화산,중랑구,2648,0.293823038397329,0.17804154302670624,0.12269938650306751,0.3333333333333333,0.1816079170204766,546636.0,463005.0,397434.0,408989.0,441146.0,462175.0,488465.0,409482.0,393845.0,442358.0,451552.0,385845.0,0.08998073150210575
182,7호선,수락산,노원구,2713,0.6126878130217028,0.5727002967359051,0.303680981595092,0.4999999999999999,0.6048960926208728,760667.0,653827.0,588002.0,616932.0,677919.0,694171.0,722826.0,619569.0,595224.0,686358.0,674180.0,578745.0,0.14015685001134928
183,7호선,마들,노원구,2714,0.39899833055091827,0.629080118694362,0.3067484662576687,0.4999999999999999,0.5433708147858863,681936.0,580144.0,509882.0,533875.0,582602.0,614153.0,646188.0,556939.0,537908.0,601468.0,609346.0,538949.0,0.12312258681433601
184,7호선,노원,노원구,2715,0.33722871452420705,0.7596439169139466,0.19018404907975459,0.5833333333333333,0.5575564906199917,1290222.0,1064075.0,877563.0,941449.0,1059078.0,1085038.0,1160611.0,987719.0,878662.0,1039627.0,1034664.0,861864.0,0.22604848622179757
185,7호선,중계,노원구,2716,0.33889816360600994,0.7774480712166172,0.17484662576687116,0.5833333333333333,0.5592063611996704,853301.0,709785.0,579263.0,614622.0,683996.0,729233.0,755343.0,634269.0,606994.0,701639.0,718652.0,604003.0,0.14643848155359612
186,7호선,하계,노원구,2717,0.41235392320534225,0.798219584569733,0.1441717791411043,0.5833333333333333,0.5845566304453883,1060725.0,878987.0,735134.0,783136.0,874572.0,913911.0,956691.0,808418.0,757577.0,886634.0,898573.0,752031.0,0.18761694350775432
